vchRegionCode,StateTest,Subject,Grade,iProficiencyLevel,vchProficiency,iMinSS,iMaxSS,linked,ProfFlag
AZ,AZ,Math,4,4,Exceeds Standard,741,1400,1,1
AZ,AZ,Math,5,1,Far Below Standard,0,612,1,0
AZ,AZ,Math,5,2,Approaches Standard,613,697,1,0
AZ,AZ,Math,5,3,Meets Standard,698,807,1,1
AZ,AZ,Math,5,4,Exceeds Standard,808,1400,1,1
AZ,AZ,Math,6,1,Far Below Standard,0,667,1,0
AZ,AZ,Math,6,2,Approaches Standard,668,750,1,0
AZ,AZ,Math,6,3,Meets Standard,751,828,1,1
AZ,AZ,Math,6,4,Exceeds Standard,829,1400,1,1
AZ,AZ,Math,7,1,Far Below Standard,0,673,1,0
AZ,AZ,Math,7,2,Approaches Standard,674,751,1,0
AZ,AZ,Math,7,3,Meets Standard,752,838,1,1
AZ,AZ,Math,7,4,Exceeds Standard,839,1400,1,1
AZ,AZ,Math,8,1,Far Below Standard,0,736,1,0
AZ,AZ,Math,8,2,Approaches Standard,737,779,1,0
AZ,AZ,Math,8,3,Meets Standard,780,894,1,1
AZ,AZ,Math,8,4,Exceeds Standard,895,1400,1,1
AZ,AZ,Math,9,1,Far Below Standard,0,747,0,0
AZ,AZ,Math,9,2,Approaches Standard,748,789,0,0
AZ,AZ,Math,9,3,Meets Standard,790,895,0,1
AZ,AZ,Math,9,4,Exceeds Standard,896,1400,0,1
AZ,AZ,Math,10,1,Far Below Standard,0,750,0,0
AZ,AZ,Math,10,2,Approaches Standard,751,792,0,0
AZ,AZ,Math,10,3,Meets Standard,793,900,0,1
AZ,AZ,Math,10,4,Exceeds Standard,901,1400,0,1
AZ,AZ,Math,11,1,Far Below Standard,0,765,0,0
AZ,AZ,Math,11,2,Approaches Standard,766,809,0,0
AZ,AZ,Math,11,3,Meets Standard,810,917,0,1
AZ,AZ,Math,11,4,Exceeds Standard,918,1400,0,1
AZ,AZ,Math,12,1,Far Below Standard,0,777,0,0
AZ,AZ,Math,12,2,Approaches Standard,778,824,0,0
AZ,AZ,Math,12,3,Meets Standard,825,924,0,1
AZ,AZ,Math,12,4,Exceeds Standard,925,1400,0,1
AZ,AZ,Reading,1,1,Far Below Standard,0,66,0,0
AZ,AZ,Reading,1,2,Approaches Standard,67,88,0,0
AZ,AZ,Reading,1,3,Meets Standard,89,262,0,1
AZ,AZ,Reading,1,4,Exceeds Standard,263,1400,0,1
AZ,AZ,Reading,2,1,Far Below Standard,0,94,0,0
AZ,AZ,Reading,2,2,Approaches Standard,95,221,0,0
AZ,AZ,Reading,2,3,Meets Standard,222,432,0,1
AZ,AZ,Reading,2,4,Exceeds Standard,433,1400,0,1
AZ,AZ,Reading,3,1,Far Below Standard,0,175,1,0
AZ,AZ,Reading,3,2,Approaches Standard,176,316,1,0
AZ,AZ,Reading,3,3,Meets Standard,317,550,1,1
AZ,AZ,Reading,3,4,Exceeds Standard,551,1400,1,1
AZ,AZ,Reading,4,1,Far Below Standard,0,230,1,0
AZ,AZ,Reading,4,2,Approaches Standard,231,387,1,0
AZ,AZ,Reading,4,3,Meets Standard,388,681,1,1
AZ,AZ,Reading,4,4,Exceeds Standard,682,1400,1,1
AZ,AZ,Reading,5,1,Far Below Standard,0,314,1,0
AZ,AZ,Reading,5,2,Approaches Standard,315,467,1,0
AZ,AZ,Reading,5,3,Meets Standard,468,872,1,1
AZ,AZ,Reading,5,4,Exceeds Standard,873,1400,1,1
AZ,AZ,Reading,6,1,Far Below Standard,0,335,1,0
AZ,AZ,Reading,6,2,Approaches Standard,336,509,1,0
AZ,AZ,Reading,6,3,Meets Standard,510,1034,1,1
AZ,AZ,Reading,6,4,Exceeds Standard,1035,1400,1,1
AZ,AZ,Reading,7,1,Far Below Standard,0,382,1,0
AZ,AZ,Reading,7,2,Approaches Standard,383,550,1,0
AZ,AZ,Reading,7,3,Meets Standard,551,1159,1,1
AZ,AZ,Reading,7,4,Exceeds Standard,1160,1400,1,1
AZ,AZ,Reading,8,1,Far Below Standard,0,449,1,0
AZ,AZ,Reading,8,2,Approaches Standard,450,631,1,0
AZ,AZ,Reading,8,3,Meets Standard,632,1270,1,1
AZ,AZ,Reading,8,4,Exceeds Standard,1271,1400,1,1
AZ,AZ,Reading,9,1,Far Below Standard,0,529,0,0
AZ,AZ,Reading,9,2,Approaches Standard,530,733,0,0
AZ,AZ,Reading,9,3,Meets Standard,734,1311,0,1
AZ,AZ,Reading,9,4,Exceeds Standard,1312,1400,0,1
AZ,AZ,Reading,10,1,Far Below Standard,0,547,0,0
AZ,AZ,Reading,10,2,Approaches Standard,548,778,0,0
AZ,AZ,Reading,10,3,Meets Standard,779,1322,0,1
AZ,AZ,Reading,10,4,Exceeds Standard,1323,1400,0,1
AZ,AZ,Reading,11,1,Far Below Standard,0,571,0,0
AZ,AZ,Reading,11,2,Approaches Standard,572,821,0,0
AZ,AZ,Reading,11,3,Meets Standard,822,1327,0,1
AZ,AZ,Reading,11,4,Exceeds Standard,1328,1400,0,1
AZ,AZ,Reading,12,1,Far Below Standard,0,584,0,0
AZ,AZ,Reading,12,2,Approaches Standard,585,855,0,0
AZ,AZ,Reading,12,3,Meets Standard,856,1339,0,1
AZ,AZ,Reading,12,4,Exceeds Standard,1340,1400,0,1
CA,CA,Math,1,1,Level 1,0,336,0,0
CA,CA,Math,1,2,Level 2,337,417,0,0
CA,CA,Math,1,3,Level 3,418,498,0,1
CA,CA,Math,1,4,Level 4,499,1400,0,1
CA,CA,Math,2,1,Level 1,0,457,0,0
CA,CA,Math,2,2,Level 2,458,528,0,0
CA,CA,Math,2,3,Level 3,529,601,0,1
CA,CA,Math,2,4,Level 4,602,1400,0,1
CA,CA,Math,3,1,Level 1,0,546,1,0
CA,CA,Math,3,2,Level 2,547,620,1,0
CA,CA,Math,3,3,Level 3,621,686,1,1
CA,CA,Math,3,4,Level 4,687,1400,1,1
CA,CA,Math,4,1,Level 1,0,602,1,0
CA,CA,Math,4,2,Level 2,603,695,1,0
CA,CA,Math,4,3,Level 3,696,771,1,1
CA,CA,Math,4,4,Level 4,772,1400,1,1
CA,CA,Math,5,1,Level 1,0,692,1,0
CA,CA,Math,5,2,Level 2,693,781,1,0
CA,CA,Math,5,3,Level 3,782,826,1,1
CA,CA,Math,5,4,Level 4,827,1400,1,1
CA,CA,Math,6,1,Level 1,0,716,1,0
CA,CA,Math,6,2,Level 2,717,807,1,0
CA,CA,Math,6,3,Level 3,808,859,1,1
CA,CA,Math,6,4,Level 4,860,1400,1,1
CA,CA,Math,7,1,Level 1,0,745,1,0
CA,CA,Math,7,2,Level 2,746,830,1,0
CA,CA,Math,7,3,Level 3,831,885,1,1
CA,CA,Math,7,4,Level 4,886,1400,1,1
CA,CA,Math,8,1,Level 1,0,783,1,0
CA,CA,Math,8,2,Level 2,784,851,1,0
CA,CA,Math,8,3,Level 3,852,891,1,1
CA,CA,Math,8,4,Level 4,892,1400,1,1
CA,CA,Math,9,1,Level 1,0,790,0,0
CA,CA,Math,9,2,Level 2,791,852,0,0
CA,CA,Math,9,3,Level 3,853,895,0,1
CA,CA,Math,9,4,Level 4,896,1400,0,1
CA,CA,Math,10,1,Level 1,0,796,0,0
CA,CA,Math,10,2,Level 2,797,858,0,0
CA,CA,Math,10,3,Level 3,859,900,0,1
CA,CA,Math,10,4,Level 4,901,1400,0,1
CA,CA,Math,11,1,Level 1,0,813,0,0
CA,CA,Math,11,2,Level 2,814,873,0,0
CA,CA,Math,11,3,Level 3,874,918,0,1
CA,CA,Math,11,4,Level 4,919,1400,0,1
CA,CA,Math,12,1,Level 1,0,826,0,0
CA,CA,Math,12,2,Level 2,827,890,0,0
CA,CA,Math,12,3,Level 3,891,925,0,1
CA,CA,Math,12,4,Level 4,926,1400,0,1
CA,CA,Reading,1,1,Level 1,0,90,0,0
CA,CA,Reading,1,2,Level 2,91,165,0,0
CA,CA,Reading,1,3,Level 3,166,248,0,1
CA,CA,Reading,1,4,Level 4,249,1400,0,1
CA,CA,Reading,2,1,Level 1,0,232,0,0
CA,CA,Reading,2,2,Level 2,233,337,0,0
CA,CA,Reading,2,3,Level 3,338,435,0,1
CA,CA,Reading,2,4,Level 4,436,1400,0,1
CA,CA,Reading,3,1,Level 1,0,332,1,0
CA,CA,Reading,3,2,Level 2,333,454,1,0
CA,CA,Reading,3,3,Level 3,455,561,1,1
CA,CA,Reading,3,4,Level 4,562,1400,1,1
CA,CA,Reading,4,1,Level 1,0,434,1,0
CA,CA,Reading,4,2,Level 2,435,530,1,0
CA,CA,Reading,4,3,Level 3,531,660,1,1
CA,CA,Reading,4,4,Level 4,661,1400,1,1
CA,CA,Reading,5,1,Level 1,0,483,1,0
CA,CA,Reading,5,2,Level 2,484,599,1,0
CA,CA,Reading,5,3,Level 3,600,852,1,1
CA,CA,Reading,5,4,Level 4,853,1400,1,1
CA,CA,Reading,6,1,Level 1,0,499,1,0
CA,CA,Reading,6,2,Level 2,500,691,1,0
CA,CA,Reading,6,3,Level 3,692,1015,1,1
CA,CA,Reading,6,4,Level 4,1016,1400,1,1
CA,CA,Reading,7,1,Level 1,0,576,1,0
CA,CA,Reading,7,2,Level 2,577,772,1,0
CA,CA,Reading,7,3,Level 3,773,1168,1,1
CA,CA,Reading,7,4,Level 4,1169,1400,1,1
